start	end	chromosome	name	score
2242	11086	scaffold_488	fgenesh1_pg.scaffold_488000001	0
12585	15129	scaffold_488	fgenesh1_pg.scaffold_488000002	0
20781	22246	scaffold_488	fgenesh1_pg.scaffold_488000004	0
23029	23796	scaffold_488	fgenesh1_pg.scaffold_488000005	0
24470	24811	scaffold_488	e_gw.488.12.1	0
46454	76250	scaffold_488	e_gw.488.2.1	0
82528	91216	scaffold_488	estExt_fgenesh1_pg.C_4880012	0
91948	97358	scaffold_488	estExt_fgenesh1_pg.C_4880013	0
103297	103770	scaffold_488	e_gw.488.8.1	0
104127	104741	scaffold_488	gw.488.5.1	0
116205	120888	scaffold_488	estExt_fgenesh1_pg.C_4880015	0
22	2642	scaffold_393	e_gw.393.29.1	0
11692	12834	scaffold_393	e_gw.393.20.1	0
14064	46661	scaffold_393	e_gw.393.3.1	0
54079	54729	scaffold_393	gw.393.10.1	0
57424	61208	scaffold_393	fgenesh1_pg.scaffold_393000005	0
64965	67061	scaffold_393	fgenesh1_pg.scaffold_393000006	0
70536	71003	scaffold_393	gw.393.21.1	0
77852	78721	scaffold_393	e_gw.393.18.1	0
80578	80866	scaffold_393	e_gw.393.52.1	0
84647	85156	scaffold_393	e_gw.393.17.1	0
86770	88404	scaffold_393	gw.393.4.1	0
96917	99197	scaffold_393	fgsh_est.C_scaffold_393000001	0
101897	102064	scaffold_393	e_gw.393.54.1	0
103574	104585	scaffold_393	gw.393.45.1	0
108970	115669	scaffold_393	gw.393.43.1	0
136605	137870	scaffold_393	fgenesh1_pg.scaffold_393000012	0
143843	146900	scaffold_393	estExt_GenewiseH_1.C_3930059	0
151648	152655	scaffold_393	fgenesh1_pg.scaffold_393000014	0
155743	166672	scaffold_393	estExt_fgenesh1_pg.C_3930015	0
171337	171533	scaffold_393	gw.393.69.1	0
173246	173479	scaffold_393	e_gw.393.41.1	0
6014	7319	scaffold_388	fgenesh1_pg.scaffold_388000001	0
96516	153724	scaffold_388	estExt_GenewiseH_1.C_3880003	0
154171	156210	scaffold_388	gw.388.12.1	0
160349	182023	scaffold_388	estExt_gwp.C_3880008	0
198971	199747	scaffold_388	gw.388.10.1	0
201816	205810	scaffold_388	fgenesh1_pg.scaffold_388000010	0
9797	12013	scaffold_28	estExt_fgenesh1_pg.C_280002	0
12975	13826	scaffold_28	estExt_fgenesh1_pg.C_280003	0
15011	18145	scaffold_28	fgenesh1_pg.scaffold_28000004	0
22091	25726	scaffold_28	fgenesh1_pg.scaffold_28000005	0
44876	49002	scaffold_28	fgenesh1_pg.scaffold_28000006	0
81090	83382	scaffold_28	gw.28.228.1	0
87367	97562	scaffold_28	estExt_GenewiseH_1.C_280009	0
103039	110360	scaffold_28	estExt_fgenesh1_pg.C_280008	0
111051	114680	scaffold_28	fgsh_est.C_scaffold_28000002	0
117410	122173	scaffold_28	fgenesh1_pg.scaffold_28000010	0
132518	132988	scaffold_28	e_gw.28.80.1	0
154268	175903	scaffold_28	estExt_gwp.C_280021	0
196022	196198	scaffold_28	e_gw.28.14.1	0
199920	206201	scaffold_28	e_gw.28.3.1	0
210475	217460	scaffold_28	estExt_fgenesh1_pg.C_280016	0
217730	224733	scaffold_28	e_gw.28.51.1	0
226953	238857	scaffold_28	e_gw.28.219.1	0
244150	244380	scaffold_28	e_gw.28.263.1	0
251141	251440	scaffold_28	e_gw.28.118.1	0
255417	255752	scaffold_28	e_gw.28.52.1	0
260213	262572	scaffold_28	e_gw.28.91.1	0
287712	287978	scaffold_28	e_gw.28.111.1	0
289263	289523	scaffold_28	e_gw.28.238.1	0
290851	291654	scaffold_28	e_gw.28.66.1	0
308872	317226	scaffold_28	estExt_fgenesh1_pg.C_280022	0
327125	329032	scaffold_28	gw.28.267.1	0
356246	368730	scaffold_28	fgenesh1_pg.scaffold_28000025	0
369013	371069	scaffold_28	estExt_fgenesh1_pg.C_280026	0
378489	378827	scaffold_28	gw.28.180.1	0
385666	385989	scaffold_28	e_gw.28.160.1	0
408166	408723	scaffold_28	e_gw.28.284.1	0
412421	434701	scaffold_28	e_gw.28.23.1	0
435577	439041	scaffold_28	estExt_fgenesh1_kg.C_280002	0
439239	441996	scaffold_28	estExt_fgenesh1_pg.C_280031	0
445762	450814	scaffold_28	estExt_gwp.C_280091	0
451471	454619	scaffold_28	estExt_GenewiseH_1.C_280093	0
457552	483015	scaffold_28	e_gw.28.122.1	0
499327	501759	scaffold_28	estExt_gwp.C_280106	0
502916	510279	scaffold_28	e_gw.28.126.1	0
517105	520701	scaffold_28	estExt_GenewiseH_1.C_280115	0
520731	521727	scaffold_28	fgenesh1_pg.scaffold_28000043	0
523622	526056	scaffold_28	e_gw.28.127.1	0
553548	556621	scaffold_28	estExt_gwp.C_280123	0
557194	557343	scaffold_28	e_gw.28.287.1	0
560405	575654	scaffold_28	estExt_fgenesh1_pg.C_280049	0
576853	577068	scaffold_28	e_gw.28.12.1	0
580372	593364	scaffold_28	e_gw.28.29.1	0
602148	602459	scaffold_28	e_gw.28.195.1	0
604305	608035	scaffold_28	fgenesh1_pg.scaffold_28000054	0
619223	620842	scaffold_28	e_gw.28.159.1	0
626418	627380	scaffold_28	fgenesh1_pg.scaffold_28000056	0
645056	645718	scaffold_28	fgenesh1_pg.scaffold_28000057	0
659391	660440	scaffold_28	fgenesh1_pg.scaffold_28000058	0
665560	666216	scaffold_28	estExt_fgenesh1_pg.C_280059	0
666533	669012	scaffold_28	fgenesh1_pg.scaffold_28000060	0
671151	671426	scaffold_28	gw.28.211.1	0
676987	678060	scaffold_28	fgenesh1_pg.scaffold_28000062	0
691528	692628	scaffold_28	fgenesh1_pg.scaffold_28000063	0
726180	732578	scaffold_28	fgenesh1_pg.scaffold_28000065	0
733953	737850	scaffold_28	fgenesh1_pg.scaffold_28000066	0
738576	739214	scaffold_28	fgenesh1_pg.scaffold_28000067	0
